task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	3b/757038	2443150	lasso (heinz, samples_2.txt)	CACHED	0	2019-09-01 01:30:58.446	1m 7s	41.1s	31.7%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
85	12/019383	2443155	lasso (heinz, samples_4.txt)	CACHED	0	2019-09-01 15:08:41.834	1m 6s	40.6s	31.8%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
92	d9/01dbd0	2445724	stability (3)	COMPLETED	0	2019-09-10 16:32:54.710	4.6s	3.3s	89.2%	81 MB	1.3 GB	86 MB	579 B
96	3a/414996	2445728	stability (6)	COMPLETED	0	2019-09-10 16:32:54.787	9.5s	3.9s	88.3%	80.3 MB	1.3 GB	85.8 MB	478 B
93	10/033e56	2445729	stability (4)	COMPLETED	0	2019-09-10 16:32:54.804	9.5s	3.8s	88.3%	84.9 MB	1.3 GB	85.9 MB	625 B
91	9b/fe4bdd	2445730	stability (2)	COMPLETED	0	2019-09-10 16:32:54.820	9.5s	3.9s	87.4%	85.7 MB	1.3 GB	86.6 MB	618 B
47	fc/3e0c87	2445732	stability (1)	COMPLETED	0	2019-09-10 16:32:54.864	9.5s	3.9s	87.8%	83.1 MB	1.3 GB	86.2 MB	607 B
94	b2/e5909e	2445733	stability (5)	COMPLETED	0	2019-09-10 16:32:54.886	9.4s	3.9s	87.5%	85.4 MB	1.3 GB	86.4 MB	585 B
97	db/925b82	2445734	stability (7)	COMPLETED	0	2019-09-10 16:32:54.902	9.4s	3.9s	88.3%	82.1 MB	1.3 GB	86.2 MB	583 B
98	c4/907895	40204	join_stability	COMPLETED	0	2019-09-10 16:33:04.388	2.1s	1.9s	132.2%	72.4 MB	694 MB	16.1 MB	3.7 KB
88	57/860b94	2445723	lasso (lean, samples_4.txt)	FAILED	1	2019-09-10 16:32:54.679	34.6s	30s	-	-	-	-	-
53	dc/5a36fe	2445726	lasso (lean, samples_5.txt)	FAILED	1	2019-09-10 16:32:54.754	34.6s	30s	-	-	-	-	-
82	e5/cd0b6b	2445731	lasso (lean, samples_1.txt)	FAILED	1	2019-09-10 16:32:54.835	34.5s	29.9s	-	-	-	-	-
85	b7/d78691	2445725	lasso (lean, samples_3.txt)	FAILED	1	2019-09-10 16:32:54.733	39.6s	34.9s	-	-	-	-	-
89	ed/e62716	2445727	lasso (lean, samples_2.txt)	FAILED	1	2019-09-10 16:32:54.771	39.5s	34.9s	-	-	-	-	-
99	b2/b0db52	47918	join_analyses	CACHED	0	2019-09-02 18:05:12.351	2.6s	2.3s	101.0%	113.9 MB	531.9 MB	16.1 MB	3.4 KB
