seed	genes
NR3C1	HSPA1A
NR3C1	VARS
NR3C1	HSPA1L
NR3C1	DNAJB7
GCK	GCK
GCK	RELA
GCK	CSNK2B
GCK	NFKBIA
GCK	HSPA1A
GCK	HSPA1L
GCK	PNMT
HSPA5	HSPA5
HSPA5	TIMM13
HSPA5	HSPA1A
HSPA5	HSPA1L
HSPA5	DNAJB7
SLC2A2	SLC2A2
SLC2A2	CLIC1
SLC2A2	MYC
SLC2A2	HSPA1A
SLC2A2	KPNA2
SLC2A2	VARS
SLC2A2	PSMA5
SLC2A2	HSPA1L
SLC2A4	SLC2A4
SLC2A4	CLIC1
SLC2A4	HSPA1A
SLC2A4	IDH1
SLC2A4	VARS
SLC2A4	PSMA5
SLC2A4	DAZAP1
SLC2A4	PPP6C
SLC2A4	HSPA1L
GRIK2	GRIK2
GRIK2	CLIC1
GRIK2	MYC
GRIK2	ERBB2
GRIK2	HSPA1A
GRIK2	GRB7
GRIK2	CHN1
GRIK2	PICK1
GRIK2	LY6G6F
GRIK1	GRIK1
GRIK1	CLIC1
GRIK1	MYC
GRIK1	ERBB2
GRIK1	HSPA1A
GRIK1	GRB7
GRIK1	CHN1
GRIK1	PICK1
GRIK1	LY6G6F
CCNT1	CCNT1
CCNT1	CLIC1
CCNT1	MYC
CCNT1	HSPA1A
CCNT1	VARS
CCNT1	PSMA5
CCNT1	HSPA1L
HSF2	HSF2
HSF2	ERBB2
HSF2	GRB7
HSF2	CHN1
HSF2	TMSB4X
HSF2	LY6G6F
LIMK1	LIMK1
LIMK1	ERBB2
LIMK1	HSPA4
LIMK1	CHN1
LIMK1	OFD1
LIMK1	RAB6A
LIMK1	AIPL1
FGF7	FGF7
FGF7	CLIC1
FGF7	CSNK2B
FGF7	NFKBIA
FGF7	MYC
FGF7	HSPA1A
FGF7	FGFR2
FGF7	PDS5A
FGF7	CD83
C1QBP	C1QBP
C1QBP	CLIC1
C1QBP	MYC
C1QBP	HSPA1A
C1QBP	VARS
C1QBP	HSPA1L
C1QBP	MRPS30
C1QBP	XPNPEP3
EIF3E	EIF3E
EIF3E	CLIC1
EIF3E	MYC
EIF3E	HSPA1A
EIF3E	VARS
EIF3E	PSMA5
EIF3E	HSPA1L
HNRNPA1	HNRNPA1
HNRNPA1	HSPA1A
HNRNPA1	FEN1
HNRNPA1	HSPA1L
HNRNPA1	MRPS30
HNRNPM	HNRNPM
HNRNPM	CLIC1
HNRNPM	MYC
HNRNPM	HSPA1A
HNRNPM	VARS
HNRNPM	PSMA5
HNRNPM	HSPA1L
UBAP2L	PRRC2A
UBAP2L	UBAP2L
UBAP2L	CLIC1
UBAP2L	MYC
UBAP2L	HSPA1A
UBAP2L	MTNR1A
UBAP2L	VARS
UBAP2L	PSMA5
UBAP2L	HSPA1L
IMMT	IMMT
IMMT	CLIC1
IMMT	MYC
IMMT	HSPA1A
IMMT	VARS
IMMT	PSMA5
IMMT	HSPA1L
IFT88	PRRC2A
IFT88	IFT88
IFT88	CSNK2B
IFT88	HSPA1A
IFT88	BMI1
IFT88	ANKRD55
IFT88	HSPA1L
IFT88	TTC30A
HTT	HTT
HTT	RAB9A
HTT	LSM2
HTT	CDK5RAP3
HTT	RHEB
HTT	CRMP1
HAP1	HAP1
HAP1	CLIC1
HAP1	MYC
HAP1	HSPA1A
HAP1	VARS
HAP1	HSPA1L
HAP1	DNAJB7
HYPK	HYPK
HYPK	HSPA1A
HYPK	HSPA1L
HYPK	LMNB2
HYPK	DNAJB7
MEF2D	MEF2D
MEF2D	CLIC1
MEF2D	HDAC5
MEF2D	HSPA1A
MEF2D	PSMA5
MEF2D	HSPA1L
TCF3	TCF3
TCF3	CLIC1
TCF3	MYC
TCF3	HSPA1A
TCF3	TRAPPC2
TCF3	PSMA5
TCF3	HSPA1L
TCF3	VPS45
IGF1R	IGF1R
IGF1R	CLIC1
IGF1R	MYC
IGF1R	ERBB2
IGF1R	HSPA1A
IGF1R	GRB7
IGF1R	CHN1
IGF1R	HSPA1L
IGF1R	LY6G6F
YWHAE	YWHAE
YWHAE	CLIC1
YWHAE	MYC
YWHAE	HSPA1A
YWHAE	VARS
YWHAE	HSPA1L
YWHAE	DNAJB7
SOCS1	SOCS1
SOCS1	CLIC1
SOCS1	MYC
SOCS1	ERBB2
SOCS1	HSPA1A
SOCS1	GRB7
SOCS1	CHN1
SOCS1	HSPA1L
SOCS1	LY6G6F
PTK2	PTK2
PTK2	DEF6
PTK2	ERBB2
PTK2	GRB7
PTK2	CHN1
PTK2	LY6G6F
MAPK8	MAPK8
MAPK8	CLIC1
MAPK8	MYC
MAPK8	HSPA1A
MAPK8	VARS
